"House_ID","Period","DEP","DPP","DiBP","DnBP","BzBP","DEHP","DnOP","DiNP","base_ac_yn","hrv_on_yn"
"NHAQS-001",0,16200,339,23400,9520,2680,16900,93600,83500,0,1
"NHAQS-001",3,25600,366,39100,20600,3450,20700,2780,49100,0,1
"NHAQS-001",6,63600,3250,66700,42900,7370,39500,128000,25100,0,1
"NHAQS-001",9,30100,868,75300,31100,3320,39200,63900,329000,0,1
"NHAQS-002",0,13000,436,18300,8680,4400,5480,7490,8880,1,1
"NHAQS-002",3,28900,1090,85700,23900,10300,22300,48300,68500,1,1
"NHAQS-002",6,22800,1670,57000,30800,8250,11200,19100,12200,1,1
"NHAQS-002",9,22600,1720,73900,23200,4620,28100,302000,891000,1,1
"NHAQS-003",0,58100,857,65800,17200,4270,5480,20000,9020,0,1
"NHAQS-003",3,82600,1170,9420,63900,3860,4900,10900,9100,0,1
"NHAQS-003",6,21100,507,29400,16200,1060,5580,30500,7600,0,1
"NHAQS-003",9,155000,516,140000,28200,2420,15800,135000,335000,0,1
"NHAQS-006",0,82600,299,109000,21500,6100,14400,70900,9930,1,1
"NHAQS-006",3,25100,1570,49100,28600,21500,13000,9320,8590,1,1
"NHAQS-006",6,52000,2020,90500,58800,4500,6760,20000,78100,1,1
"NHAQS-006",9,25100,340,76500,12200,2180,27200,10900,329000,1,1
"NHAQS-007",0,8550,440,34800,17200,3870,26500,12000,4050,1,0
"NHAQS-007",3,82600,1720,55500,17200,4500,28100,19100,8590,1,0
"NHAQS-007",6,80600,159,26500,90700,1300,24300,20000,25100,1,0
"NHAQS-007",9,37100,868,26500,34100,21500,13000,68100,8590,1,0
"NHAQS-008",0,45200,528,35500,27800,3690,18200,18200,10700,1,0
"NHAQS-008",3,40200,1410,79500,316000,8120,11600,59500,13700,1,0
"NHAQS-008",6,38900,826,30700,23500,2150,8890,85600,143000,1,0
"NHAQS-008",9,25500,1860,49100,58800,3080,39500,302000,329000,1,0
"NHAQS-009",0,51800,1860,95200,57900,5830,83300,24000,16200,0,0
"NHAQS-009",3,30100,12500,58800,33800,22200,17300,68100,79600,0,0
"NHAQS-009",6,35800,1170,46300,42900,5350,20700,128000,245000,0,0
"NHAQS-009",9,82600,436,46300,12200,2460,11600,146000,5560,0,0
"NHAQS-010",0,37100,2670,67700,90700,17600,23500,29100,60400,1,0
"NHAQS-010",3,25300,340,42500,46200,4450,24300,146000,336000,1,0
"NHAQS-010",6,25800,868,55500,16200,4620,8890,20000,7600,1,0
"NHAQS-010",9,25100,1190,18300,23900,4500,18700,59500,9860,1,0
"NHAQS-011",0,34300,1190,76500,58400,5740,61800,14400,14000,0,0
"NHAQS-011",3,25800,823,46300,34100,2180,30500,64000,245000,0,0
"NHAQS-011",6,37100,1410,40200,16200,8250,6760,30500,9860,0,0
"NHAQS-011",9,30100,1090,26500,28600,3690,5580,7490,335000,0,0
"NHAQS-012",0,202000,547,59100,24500,5350,18700,14000,12600,1,0
"NHAQS-012",3,25500,1790,92500,43600,2460,34500,195000,342000,1,0
"NHAQS-012",6,40200,1090,65800,13600,22200,23900,9320,340000,1,0
"NHAQS-012",9,28900,1410,29400,58400,1300,16900,14400,13700,1,0
"NHAQS-013",0,35800,1380,55500,40400,8450,23900,7290,5560,1,0
"NHAQS-013",3,80600,660,42700,25800,3080,13000,152000,340000,1,0
"NHAQS-013",6,82600,1720,138000,90700,3870,39500,24000,891000,1,0
"NHAQS-013",9,37100,1670,140000,12200,1060,28100,10900,12200,1,0
"NHAQS-014",0,15200,159,26500,13600,1300,8500,129000,53000,1,0
"NHAQS-014",3,37100,2020,92500,316000,10300,27200,195000,68500,1,0
"NHAQS-014",6,13000,660,18300,24500,1060,20700,129000,340000,1,0
"NHAQS-014",9,22800,507,65800,25800,6100,17300,10900,13700,1,0
"NHAQS-015",0,1e+05,4130,138000,25400,3740,27200,35200,9860,1,1
"NHAQS-015",3,30100,868,35500,9520,4450,6760,14000,49100,1,1
"NHAQS-015",6,30100,1410,140000,33800,22200,34500,10900,336000,1,1
"NHAQS-015",9,13000,1570,76500,24500,3870,18200,129000,9930,1,1
"NHAQS-016",0,26800,549,40200,12200,3340,26500,124000,9910,1,1
"NHAQS-016",3,35800,1380,30700,40400,8450,30500,14000,79600,1,1
"NHAQS-016",6,1e+05,516,109000,23200,4270,23500,48300,79600,1,1
"NHAQS-016",9,51800,1380,57000,57900,2680,13000,7290,143000,1,1
